CORDISLANDIA;-;10;10
COROACI;-;6;6
COROMANDEL;5;82;87
CORONEL FABRICIANO;21;304;325
CORONEL MURTA;-;6;6
CORONEL PACHECO;-;7;7
CORREGO DO BOM JESUS;-;6;6
CORREGO FUNDO;2;67;69
COUTO DE MAGALHAES DE MINAS;-;2;2
CRISTAIS;-;19;19
CRISTIANO OTONI;-;7;7
CRISTINA;4;157;161
CRUCILANDIA;-;3;3
CRUZEIRO DA FORTALEZA;1;30;31
CRUZILIA;1;33;34
CURVELO;8;344;352
DATAS;-;7;7
DELFIM MOREIRA;4;43;47
DELFINOPOLIS;-;4;4
DELTA;-;31;31
DESCOBERTO;-;3;3
DESTERRO DE ENTRE RIOS;1;18;19
DESTERRO DO MELO;-;5;5
DIOGO DE VASCONCELOS;-;9;9
DIONISIO;1;46;47
DIVINO;-;15;15
DIVINOLANDIA DE MINAS;-;5;5
DIVINOPOLIS;8;375;383
DIVISA ALEGRE;-;1;1
DIVISA NOVA;-;13;13
DIVISOPOLIS;1;4;5
DOM CAVATI;-;14;14
DOM JOAQUIM;-;2;2
DOM SILVERIO;2;11;13
DONA EUSEBIA;-;10;10
DORES DE CAMPOS;2;60;62
DORES DE GUANHAES;-;10;10
DORES DO INDAIA;-;35;35
DORES DO TURVO;-;3;3
DOURADOQUARA;1;2;3
DURANDE;-;6;6
ELOI MENDES;-;2;2
ENTRE FOLHAS;-;6;6
ENTRE RIOS DE MINAS;1;19;20
ERVALIA;-;11;11
ESMERALDAS;2;54;56
ESPERA FELIZ;3;69;72
ESPINOSA;-;24;24
ESPIRITO SANTO DO DOURADO;-;17;17
ESTIVA;-;40;40
ESTRELA DALVA;-;14;14
ESTRELA DO INDAIA;-;21;21
ESTRELA DO SUL;-;9;9
EUGENOPOLIS;2;19;21
EWBANK DA CAMARA;-;8;8
EXTREMA;9;228;237
FAMA;-;1;1
FARIA LEMOS;-;1;1
FELICIO DOS SANTOS;-;2;2
SAO GONCALO DO RIO PRETO;-;4;4
FELISBURGO;-;3;3
FELIXLANDIA;-;2;2
FERNANDES TOURINHO;-;8;8
FERVEDOURO;-;15;15
FORMIGA;14;261;275
FORTALEZA DE MINAS;4;34;38
FORTUNA DE MINAS;-;12;12
FRANCISCO BADARO;-;14;14
FRANCISCO DUMONT;-;2;2
FRANCISCO SA;2;8;10
FREI INOCENCIO;1;17;18
FREI LAGONEGRO;-;1;1
FRONTEIRA;-;7;7
FRONTEIRA DOS VALES;1;7;8
FRUTA DE LEITE;-;4;4
FRUTAL;5;107;112
FUNILANDIA;-;3;3
GALILEIA;-;13;13
GAMELEIRAS;-;3;3
GOIANA;-;1;1
GONCALVES;1;32;33
GOUVEIA;-;9;9
GOVERNADOR VALADARES;19;963;982
GRAO MOGOL;-;5;5
GRUPIARA;-;16;16
GUANHAES;9;245;254
GUAPE;-;94;94
GUARACIAMA;1;10;11
GUARANESIA;-;75;75
GUARANI;1;23;24
GUARARA;1;2;3
GUARDA-MOR;-;14;14
GUAXUPE;9;213;222
GUIDOVAL;-;36;36
GUIMARANIA;-;7;7
GURINHATA;-;5;5
HELIODORA;-;31;31
IAPU;-;13;13
IBERTIOGA;-;21;21
IBIA;2;34;36
IBIRACI;1;30;31
IBIRITE;11;304;315
IBITIURA DE MINAS;-;38;38
IBITURUNA;-;2;2
IGARAPE;2;94;96
IGARATINGA;1;29;30
IGUATAMA;-;13;13
ILICINEA;-;40;40
IMBE DE MINAS;-;5;5
INCONFIDENTES;-;25;25
INDAIABIRA;-;15;15
INDIANOPOLIS;-;6;6
INHAPIM;4;94;98
INIMUTABA;-;13;13
IPABA;1;30;31
IPANEMA;-;41;41
IPATINGA;156;577;733
IPUIUNA;2;88;90
ITABIRA;4;220;224
ITABIRINHA;-;6;6
ITABIRITO;-;6;6
ITACARAMBI;1;18;19
ITAGUARA;-;23;23
ITAIPE;-;4;4
ITAJUBA;24;796;820
ITAMARANDIBA;-;31;31
ITAMARATI DE MINAS;-;56;56
ITAMBACURI;-;20;20
ITAMBE DO MATO DENTRO;-;1;1
ITAMOGI;2;55;57
ITAMONTE;-;18;18
ITANHANDU;1;93;94
ITANHOMI;2;30;32
ITAOBIM;-;20;20
ITAPAGIPE;2;58;60
ITAPECERICA;-;17;17
ITAPEVA;2;25;27
ITATIAIUCU;1;25;26
ITAU DE MINAS;1;142;143
ITAUNA;7;158;165
ITUETA;-;6;6
ITUIUTABA;1;209;210
ITUMIRIM;-;2;2
ITURAMA;1;112;113
ITUTINGA;-;18;18
JABOTICATUBAS;-;26;26
JACINTO;-;6;6
JACUI;1;128;129
JACUTINGA;1;90;91
JAGUARACU;-;5;5
JAIBA;-;8;8
JAMPRUCA;-;6;6
JANAUBA;-;32;32
JANUARIA;-;112;112
JAPARAIBA;-;5;5
JAPONVAR;-;1;1
JENIPAPO DE MINAS;-;9;9
JEQUERI;-;32;32
JEQUITAI;-;4;4
JEQUITINHONHA;-;2;2
JESUANIA;-;1;1
JOAIMA;-;21;21
JOANESIA;-;10;10
JOAO MONLEVADE;1;86;87
JOAO PINHEIRO;3;52;55
JORDANIA;-;1;1
JOSE GONCALVES DE MINAS;-;6;6
JOSE RAYDAN;1;10;11
NOVA UNIAO;1;19;20
JUATUBA;-;21;21
JUIZ DE FORA;17;704;721
JURUAIA;-;17;17
JUVENILIA;-;2;2
LAGAMAR;1;34;35
LAGOA DA PRATA;2;59;61
LAGOA DOURADA;-;1;1
LAGOA FORMOSA;3;39;42
LAGOA GRANDE;1;4;5
LAGOA SANTA;-;21;21
LAMBARI;9;119;128
LARANJAL;-;7;7
LASSANCE;-;4;4
LAVRAS;8;68;76
LEANDRO FERREIRA;-;13;13
LEOPOLDINA;-;36;36
LIMA DUARTE;-;31;31
LIMEIRA DO OESTE;-;5;5
LONTRA;-;1;1
LUISBURGO;1;14;15
LUZ;-;41;41
MACHADO;2;189;191
MADRE DE DEUS DE MINAS;-;15;15
MANGA;-;13;13
MANHUACU;3;41;44
MANHUMIRIM;1;52;53
MANTENA;2;46;48
MARAVILHAS;-;8;8
MAR DE ESPANHA;-;19;19
MARIA DA FE;6;86;92
MARIANA;1;83;84
MARIPA DE MINAS;-;1;1
MARLIERIA;-;14;14
MARMELOPOLIS;1;35;36
MARTINHO CAMPOS;2;51;53
MATERLANDIA;-;5;5
MATEUS LEME;1;125;126
MATIAS BARBOSA;1;34;35
MATIAS CARDOSO;-;8;8
MATO VERDE;-;5;5
MATOZINHOS;-;7;7
MATUTINA;-;3;3
MEDEIROS;-;2;2
MEDINA;-;9;9
