CORDISLANDIA;-;10;10
COROACI;-;6;6
COROMANDEL;10;77;87
CORONEL FABRICIANO;20;305;325
CORONEL MURTA;1;5;6
CORONEL PACHECO;-;7;7
CORREGO DO BOM JESUS;-;6;6
CORREGO FUNDO;4;65;69
COUTO DE MAGALHAES DE MINAS;-;2;2
CRISTAIS;2;17;19
CRISTIANO OTONI;-;7;7
CRISTINA;7;154;161
CRUCILANDIA;-;3;3
CRUZEIRO DA FORTALEZA;-;31;31
CRUZILIA;2;32;34
CURVELO;18;334;352
DATAS;-;7;7
DELFIM MOREIRA;1;46;47
DELFINOPOLIS;-;4;4
DELTA;1;30;31
DESCOBERTO;-;3;3
DESTERRO DE ENTRE RIOS;6;13;19
DESTERRO DO MELO;-;5;5
DIOGO DE VASCONCELOS;-;9;9
DIONISIO;6;41;47
DIVINO;2;13;15
DIVINOLANDIA DE MINAS;-;5;5
DIVINOPOLIS;13;370;383
DIVISA ALEGRE;-;1;1
DIVISA NOVA;-;13;13
DIVISOPOLIS;1;4;5
DOM CAVATI;1;13;14
DOM JOAQUIM;1;1;2
DOM SILVERIO;1;12;13
DONA EUSEBIA;2;8;10
DORES DE CAMPOS;10;52;62
DORES DE GUANHAES;-;10;10
DORES DO INDAIA;3;32;35
DORES DO TURVO;1;2;3
DOURADOQUARA;-;3;3
DURANDE;-;6;6
ELOI MENDES;-;2;2
ENTRE FOLHAS;-;6;6
ENTRE RIOS DE MINAS;-;20;20
ERVALIA;-;11;11
ESMERALDAS;7;49;56
ESPERA FELIZ;6;66;72
ESPINOSA;-;24;24
ESPIRITO SANTO DO DOURADO;1;16;17
ESTIVA;3;37;40
ESTRELA DALVA;1;13;14
ESTRELA DO INDAIA;1;20;21
ESTRELA DO SUL;-;9;9
EUGENOPOLIS;3;18;21
EWBANK DA CAMARA;2;6;8
EXTREMA;7;230;237
FAMA;-;1;1
FARIA LEMOS;-;1;1
FELICIO DOS SANTOS;-;2;2
SAO GONCALO DO RIO PRETO;-;4;4
FELISBURGO;-;3;3
FELIXLANDIA;-;2;2
FERNANDES TOURINHO;-;8;8
FERVEDOURO;-;15;15
FORMIGA;36;239;275
FORTALEZA DE MINAS;3;35;38
FORTUNA DE MINAS;-;12;12
FRANCISCO BADARO;1;13;14
FRANCISCO DUMONT;-;2;2
FRANCISCO SA;-;10;10
FREI INOCENCIO;5;13;18
FREI LAGONEGRO;1;-;1
FRONTEIRA;-;7;7
FRONTEIRA DOS VALES;1;7;8
FRUTA DE LEITE;2;2;4
FRUTAL;11;101;112
FUNILANDIA;-;3;3
GALILEIA;2;11;13
GAMELEIRAS;-;3;3
GOIANA;-;1;1
GONCALVES;2;31;33
GOUVEIA;1;8;9
GOVERNADOR VALADARES;52;930;982
GRAO MOGOL;-;5;5
GRUPIARA;-;16;16
GUANHAES;8;246;254
GUAPE;3;91;94
GUARACIAMA;2;9;11
GUARANESIA;4;71;75
GUARANI;1;23;24
GUARARA;-;3;3
GUARDA-MOR;-;14;14
GUAXUPE;31;191;222
GUIDOVAL;3;33;36
GUIMARANIA;-;7;7
GURINHATA;1;4;5
HELIODORA;4;27;31
IAPU;-;13;13
IBERTIOGA;3;18;21
IBIA;-;36;36
IBIRACI;2;29;31
IBIRITE;14;301;315
IBITIURA DE MINAS;-;38;38
IBITURUNA;-;2;2
IGARAPE;11;85;96
IGARATINGA;1;29;30
IGUATAMA;5;8;13
ILICINEA;4;36;40
IMBE DE MINAS;-;5;5
INCONFIDENTES;-;25;25
INDAIABIRA;-;15;15
INDIANOPOLIS;-;6;6
INHAPIM;1;97;98
INIMUTABA;-;13;13
IPABA;2;29;31
IPANEMA;3;38;41
IPATINGA;155;578;733
IPUIUNA;-;90;90
ITABIRA;4;220;224
ITABIRINHA;-;6;6
ITABIRITO;1;5;6
ITACARAMBI;-;19;19
ITAGUARA;1;22;23
ITAIPE;-;4;4
ITAJUBA;33;787;820
ITAMARANDIBA;4;27;31
ITAMARATI DE MINAS;3;53;56
ITAMBACURI;1;19;20
ITAMBE DO MATO DENTRO;-;1;1
ITAMOGI;1;56;57
ITAMONTE;1;17;18
ITANHANDU;4;90;94
ITANHOMI;4;28;32
ITAOBIM;-;20;20
ITAPAGIPE;4;56;60
ITAPECERICA;3;14;17
ITAPEVA;-;27;27
ITATIAIUCU;-;26;26
ITAU DE MINAS;4;139;143
ITAUNA;17;148;165
ITUETA;-;6;6
ITUIUTABA;8;202;210
ITUMIRIM;1;1;2
ITURAMA;13;100;113
ITUTINGA;2;16;18
JABOTICATUBAS;1;25;26
JACINTO;-;6;6
JACUI;3;126;129
JACUTINGA;3;88;91
JAGUARACU;-;5;5
JAIBA;1;7;8
JAMPRUCA;-;6;6
JANAUBA;-;32;32
JANUARIA;1;111;112
JAPARAIBA;-;5;5
JAPONVAR;-;1;1
JENIPAPO DE MINAS;-;9;9
JEQUERI;1;31;32
JEQUITAI;1;3;4
JEQUITINHONHA;-;2;2
JESUANIA;-;1;1
JOAIMA;-;21;21
JOANESIA;2;8;10
JOAO MONLEVADE;2;85;87
JOAO PINHEIRO;9;46;55
JORDANIA;-;1;1
JOSE GONCALVES DE MINAS;-;6;6
JOSE RAYDAN;-;11;11
NOVA UNIAO;-;20;20
JUATUBA;-;21;21
JUIZ DE FORA;20;701;721
JURUAIA;1;16;17
JUVENILIA;-;2;2
LAGAMAR;2;33;35
LAGOA DA PRATA;6;55;61
LAGOA DOURADA;-;1;1
LAGOA FORMOSA;8;34;42
LAGOA GRANDE;-;5;5
LAGOA SANTA;4;17;21
LAMBARI;12;116;128
LARANJAL;-;7;7
LASSANCE;2;2;4
LAVRAS;4;72;76
LEANDRO FERREIRA;-;13;13
LEOPOLDINA;3;33;36
LIMA DUARTE;-;31;31
LIMEIRA DO OESTE;1;4;5
LONTRA;-;1;1
LUISBURGO;2;13;15
LUZ;4;37;41
MACHADO;2;189;191
MADRE DE DEUS DE MINAS;3;12;15
MANGA;-;13;13
MANHUACU;2;42;44
MANHUMIRIM;2;51;53
MANTENA;3;45;48
MARAVILHAS;-;8;8
MAR DE ESPANHA;1;18;19
MARIA DA FE;1;91;92
MARIANA;4;80;84
MARIPA DE MINAS;-;1;1
MARLIERIA;3;11;14
MARMELOPOLIS;1;35;36
MARTINHO CAMPOS;4;49;53
MATERLANDIA;-;5;5
MATEUS LEME;3;123;126
MATIAS BARBOSA;2;33;35
MATIAS CARDOSO;-;8;8
MATO VERDE;-;5;5
MATOZINHOS;-;7;7
MATUTINA;3;-;3
MEDEIROS;-;2;2
MEDINA;-;9;9
