Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Sobrepeso
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"311660 CLAUDIO";26;44;70
"311670 COIMBRA";2;20;22
"311680 COLUNA";7;11;18
"311690 COMENDADOR GOMES";3;8;11
"311700 COMERCINHO";1;-;1
"311710 CONCEICAO DA APARECIDA";7;26;33
"311720 CONCEICAO DAS PEDRAS";-;2;2
"311730 CONCEICAO DAS ALAGOAS";23;46;69
"311760 CONCEICAO DO PARA";9;6;15
"311780 CONCEICAO DOS OUROS";11;24;35
"311783 CONEGO MARINHO";-;19;19
"311787 CONFINS";4;5;9
"311790 CONGONHAL";8;13;21
"311820 CONQUISTA";14;23;37
"311830 CONSELHEIRO LAFAIETE";106;238;344
"311840 CONSELHEIRO PENA";37;24;61
"311850 CONSOLACAO";23;7;30
"311860 CONTAGEM";221;331;552
"311870 COQUEIRAL";6;16;22
"311890 CORDISBURGO";5;11;16
"311900 CORDISLANDIA";6;4;10
"311920 COROACI";1;5;6
"311930 COROMANDEL";36;51;87
"311940 CORONEL FABRICIANO";135;190;325
"311950 CORONEL MURTA";4;2;6
"311960 CORONEL PACHECO";-;7;7
"311990 CORREGO DO BOM JESUS";2;4;6
"311995 CORREGO FUNDO";10;59;69
"312010 COUTO DE MAGALHAES DE MINAS";1;1;2
"312020 CRISTAIS";4;15;19
"312040 CRISTIANO OTONI";2;5;7
"312050 CRISTINA";54;107;161
"312060 CRUCILANDIA";1;2;3
"312070 CRUZEIRO DA FORTALEZA";12;19;31
"312080 CRUZILIA";20;14;34
"312090 CURVELO";140;212;352
"312100 DATAS";2;5;7
"312110 DELFIM MOREIRA";12;35;47
"312120 DELFINOPOLIS";-;4;4
"312125 DELTA";8;23;31
"312130 DESCOBERTO";2;1;3
"312140 DESTERRO DE ENTRE RIOS";10;9;19
"312150 DESTERRO DO MELO";-;5;5
"312170 DIOGO DE VASCONCELOS";-;9;9
"312180 DIONISIO";18;29;47
"312200 DIVINO";4;11;15
"312220 DIVINOLANDIA DE MINAS";3;2;5
"312230 DIVINOPOLIS";183;200;383
"312235 DIVISA ALEGRE";1;-;1
"312240 DIVISA NOVA";4;9;13
"312245 DIVISOPOLIS";2;3;5
"312250 DOM CAVATI";8;6;14
"312260 DOM JOAQUIM";-;2;2
"312270 DOM SILVERIO";4;9;13
"312290 DONA EUSEBIA";2;8;10
"312300 DORES DE CAMPOS";16;46;62
"312310 DORES DE GUANHAES";-;10;10
"312320 DORES DO INDAIA";19;16;35
"312330 DORES DO TURVO";-;3;3
"312350 DOURADOQUARA";-;3;3
"312352 DURANDE";2;4;6
"312360 ELOI MENDES";1;1;2
"312385 ENTRE FOLHAS";-;6;6
"312390 ENTRE RIOS DE MINAS";10;10;20
"312400 ERVALIA";6;5;11
"312410 ESMERALDAS";15;41;56
"312420 ESPERA FELIZ";11;61;72
"312430 ESPINOSA";10;14;24
"312440 ESPIRITO SANTO DO DOURADO";7;10;17
"312450 ESTIVA";6;34;40
"312460 ESTRELA DALVA";1;13;14
"312470 ESTRELA DO INDAIA";9;12;21
"312480 ESTRELA DO SUL";-;9;9
"312490 EUGENOPOLIS";6;15;21
"312500 EWBANK DA CAMARA";-;8;8
"312510 EXTREMA";91;146;237
"312520 FAMA";1;-;1
"312530 FARIA LEMOS";-;1;1
"312540 FELICIO DOS SANTOS";-;2;2
"312550 SAO GONCALO DO RIO PRETO";1;3;4
"312560 FELISBURGO";1;2;3
"312570 FELIXLANDIA";1;1;2
"312580 FERNANDES TOURINHO";3;5;8
"312595 FERVEDOURO";4;11;15
"312610 FORMIGA";89;186;275
"312630 FORTALEZA DE MINAS";15;23;38
"312640 FORTUNA DE MINAS";8;4;12
"312650 FRANCISCO BADARO";5;9;14
"312660 FRANCISCO DUMONT";2;-;2
"312670 FRANCISCO SA";5;5;10
"312690 FREI INOCENCIO";4;14;18
"312695 FREI LAGONEGRO";-;1;1
"312700 FRONTEIRA";2;5;7
"312705 FRONTEIRA DOS VALES";2;6;8
"312707 FRUTA DE LEITE";-;4;4
"312710 FRUTAL";21;91;112
"312720 FUNILANDIA";-;3;3
"312730 GALILEIA";10;3;13
"312733 GAMELEIRAS";-;3;3
"312738 GOIANA";-;1;1
"312740 GONCALVES";7;26;33
"312760 GOUVEIA";2;7;9
"312770 GOVERNADOR VALADARES";309;673;982
"312780 GRAO MOGOL";3;2;5
"312790 GRUPIARA";4;12;16
"312800 GUANHAES";84;170;254
"312810 GUAPE";47;47;94
"312825 GUARACIAMA";6;5;11
"312830 GUARANESIA";16;59;75
"312840 GUARANI";5;19;24
"312850 GUARARA";1;2;3
"312860 GUARDA-MOR";7;7;14
"312870 GUAXUPE";70;152;222
"312880 GUIDOVAL";7;29;36
"312890 GUIMARANIA";3;4;7
"312910 GURINHATA";4;1;5
"312920 HELIODORA";10;21;31
"312930 IAPU";4;9;13
"312940 IBERTIOGA";12;9;21
"312950 IBIA";11;25;36
"312970 IBIRACI";16;15;31
"312980 IBIRITE";82;233;315
"312990 IBITIURA DE MINAS";13;25;38
"313000 IBITURUNA";2;-;2
"313010 IGARAPE";19;77;96
"313020 IGARATINGA";13;17;30
"313030 IGUATAMA";3;10;13
"313050 ILICINEA";8;32;40
"313055 IMBE DE MINAS";-;5;5
"313060 INCONFIDENTES";6;19;25
"313065 INDAIABIRA";3;12;15
"313070 INDIANOPOLIS";1;5;6
"313090 INHAPIM";19;79;98
"313110 INIMUTABA";2;11;13
"313115 IPABA";12;19;31
"313120 IPANEMA";18;23;41
"313130 IPATINGA";480;253;733
"313150 IPUIUNA";20;70;90
"313170 ITABIRA";108;116;224
"313180 ITABIRINHA";-;6;6
"313190 ITABIRITO";4;2;6
"313210 ITACARAMBI";3;16;19
"313220 ITAGUARA";7;16;23
"313230 ITAIPE";1;3;4
"313240 ITAJUBA";357;463;820
"313250 ITAMARANDIBA";12;19;31
"313260 ITAMARATI DE MINAS";26;30;56
