CORDISLANDIA;5;5;10
COROACI;1;5;6
COROMANDEL;38;49;87
CORONEL FABRICIANO;163;162;325
CORONEL MURTA;-;6;6
CORONEL PACHECO;2;5;7
CORREGO DO BOM JESUS;4;2;6
CORREGO FUNDO;15;54;69
COUTO DE MAGALHAES DE MINAS;-;2;2
CRISTAIS;4;15;19
CRISTIANO OTONI;-;7;7
CRISTINA;55;106;161
CRUCILANDIA;2;1;3
CRUZEIRO DA FORTALEZA;10;21;31
CRUZILIA;9;25;34
CURVELO;159;193;352
DATAS;2;5;7
DELFIM MOREIRA;12;35;47
DELFINOPOLIS;1;3;4
DELTA;9;22;31
DESCOBERTO;2;1;3
DESTERRO DE ENTRE RIOS;5;14;19
DESTERRO DO MELO;1;4;5
DIOGO DE VASCONCELOS;-;9;9
DIONISIO;18;29;47
DIVINO;4;11;15
DIVINOLANDIA DE MINAS;3;2;5
DIVINOPOLIS;187;196;383
DIVISA ALEGRE;-;1;1
DIVISA NOVA;2;11;13
DIVISOPOLIS;1;4;5
DOM CAVATI;8;6;14
DOM JOAQUIM;1;1;2
DOM SILVERIO;5;8;13
DONA EUSEBIA;4;6;10
DORES DE CAMPOS;22;40;62
DORES DE GUANHAES;-;10;10
DORES DO INDAIA;14;21;35
DORES DO TURVO;2;1;3
DOURADOQUARA;2;1;3
DURANDE;4;2;6
ELOI MENDES;1;1;2
ENTRE FOLHAS;1;5;6
ENTRE RIOS DE MINAS;11;9;20
ERVALIA;4;7;11
ESMERALDAS;14;42;56
ESPERA FELIZ;16;56;72
ESPINOSA;5;19;24
ESPIRITO SANTO DO DOURADO;4;13;17
ESTIVA;7;33;40
ESTRELA DALVA;3;11;14
ESTRELA DO INDAIA;13;8;21
ESTRELA DO SUL;4;5;9
EUGENOPOLIS;7;14;21
EWBANK DA CAMARA;-;8;8
EXTREMA;113;124;237
FAMA;1;-;1
FARIA LEMOS;1;-;1
FELICIO DOS SANTOS;1;1;2
SAO GONCALO DO RIO PRETO;1;3;4
FELISBURGO;1;2;3
FELIXLANDIA;-;2;2
FERNANDES TOURINHO;3;5;8
FERVEDOURO;2;13;15
FORMIGA;79;196;275
FORTALEZA DE MINAS;19;19;38
FORTUNA DE MINAS;9;3;12
FRANCISCO BADARO;9;5;14
FRANCISCO DUMONT;-;2;2
FRANCISCO SA;5;5;10
FREI INOCENCIO;5;13;18
FREI LAGONEGRO;-;1;1
FRONTEIRA;2;5;7
FRONTEIRA DOS VALES;1;7;8
FRUTA DE LEITE;-;4;4
FRUTAL;48;64;112
FUNILANDIA;-;3;3
GALILEIA;7;6;13
GAMELEIRAS;1;2;3
GOIANA;-;1;1
GONCALVES;8;25;33
GOUVEIA;6;3;9
GOVERNADOR VALADARES;362;620;982
GRAO MOGOL;1;4;5
GRUPIARA;6;10;16
GUANHAES;58;196;254
GUAPE;27;67;94
GUARACIAMA;2;9;11
GUARANESIA;23;52;75
GUARANI;6;18;24
GUARARA;2;1;3
GUARDA-MOR;7;7;14
GUAXUPE;98;124;222
GUIDOVAL;11;25;36
GUIMARANIA;3;4;7
GURINHATA;5;-;5
HELIODORA;10;21;31
IAPU;3;10;13
IBERTIOGA;18;3;21
IBIA;12;24;36
IBIRACI;18;13;31
IBIRITE;118;197;315
IBITIURA DE MINAS;16;22;38
IBITURUNA;2;-;2
IGARAPE;46;50;96
IGARATINGA;12;18;30
IGUATAMA;4;9;13
ILICINEA;20;20;40
IMBE DE MINAS;-;5;5
INCONFIDENTES;14;11;25
INDAIABIRA;1;14;15
INDIANOPOLIS;1;5;6
INHAPIM;32;66;98
INIMUTABA;6;7;13
IPABA;20;11;31
IPANEMA;16;25;41
IPATINGA;236;497;733
IPUIUNA;38;52;90
ITABIRA;118;106;224
ITABIRINHA;3;3;6
ITABIRITO;2;4;6
ITACARAMBI;4;15;19
ITAGUARA;4;19;23
ITAIPE;2;2;4
ITAJUBA;377;443;820
ITAMARANDIBA;10;21;31
ITAMARATI DE MINAS;28;28;56
ITAMBACURI;4;16;20
ITAMBE DO MATO DENTRO;-;1;1
ITAMOGI;19;38;57
ITAMONTE;7;11;18
ITANHANDU;40;54;94
