CORDISLANDIA;2;8;10
COROACI;1;5;6
COROMANDEL;28;59;87
CORONEL FABRICIANO;57;268;325
CORONEL MURTA;1;5;6
CORONEL PACHECO;1;6;7
CORREGO DO BOM JESUS;1;5;6
CORREGO FUNDO;7;62;69
COUTO DE MAGALHAES DE MINAS;1;1;2
CRISTAIS;3;16;19
CRISTIANO OTONI;1;6;7
CRISTINA;38;123;161
CRUCILANDIA;1;2;3
CRUZEIRO DA FORTALEZA;4;27;31
CRUZILIA;6;28;34
CURVELO;67;285;352
DATAS;-;7;7
DELFIM MOREIRA;10;37;47
DELFINOPOLIS;-;4;4
DELTA;10;21;31
DESCOBERTO;-;3;3
DESTERRO DE ENTRE RIOS;2;17;19
DESTERRO DO MELO;-;5;5
DIOGO DE VASCONCELOS;-;9;9
DIONISIO;5;42;47
DIVINO;4;11;15
DIVINOLANDIA DE MINAS;-;5;5
DIVINOPOLIS;76;307;383
DIVISA ALEGRE;-;1;1
DIVISA NOVA;3;10;13
DIVISOPOLIS;2;3;5
DOM CAVATI;1;13;14
DOM JOAQUIM;-;2;2
DOM SILVERIO;-;13;13
DONA EUSEBIA;-;10;10
DORES DE CAMPOS;13;49;62
DORES DE GUANHAES;1;9;10
DORES DO INDAIA;7;28;35
DORES DO TURVO;1;2;3
DOURADOQUARA;-;3;3
DURANDE;-;6;6
ELOI MENDES;1;1;2
ENTRE FOLHAS;-;6;6
ENTRE RIOS DE MINAS;7;13;20
ERVALIA;-;11;11
ESMERALDAS;12;44;56
ESPERA FELIZ;8;64;72
ESPINOSA;2;22;24
ESPIRITO SANTO DO DOURADO;3;14;17
ESTIVA;12;28;40
ESTRELA DALVA;-;14;14
ESTRELA DO INDAIA;5;16;21
ESTRELA DO SUL;1;8;9
EUGENOPOLIS;4;17;21
EWBANK DA CAMARA;4;4;8
EXTREMA;51;186;237
FAMA;-;1;1
FARIA LEMOS;-;1;1
FELICIO DOS SANTOS;-;2;2
SAO GONCALO DO RIO PRETO;1;3;4
FELISBURGO;3;-;3
FELIXLANDIA;2;-;2
FERNANDES TOURINHO;-;8;8
FERVEDOURO;2;13;15
