Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Sedentarismo
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"311660 CLAUDIO";21;49;70
"311670 COIMBRA";5;17;22
"311680 COLUNA";3;15;18
"311690 COMENDADOR GOMES";5;6;11
"311700 COMERCINHO";1;-;1
"311710 CONCEICAO DA APARECIDA";10;23;33
"311720 CONCEICAO DAS PEDRAS";-;2;2
"311730 CONCEICAO DAS ALAGOAS";28;41;69
"311760 CONCEICAO DO PARA";8;7;15
"311780 CONCEICAO DOS OUROS";12;23;35
"311783 CONEGO MARINHO";4;15;19
"311787 CONFINS";5;4;9
"311790 CONGONHAL";9;12;21
"311820 CONQUISTA";15;22;37
"311830 CONSELHEIRO LAFAIETE";127;217;344
"311840 CONSELHEIRO PENA";19;42;61
"311850 CONSOLACAO";23;7;30
"311860 CONTAGEM";289;263;552
"311870 COQUEIRAL";10;12;22
"311890 CORDISBURGO";5;11;16
"311900 CORDISLANDIA";5;5;10
"311920 COROACI";1;5;6
"311930 COROMANDEL";38;49;87
"311940 CORONEL FABRICIANO";163;162;325
"311950 CORONEL MURTA";-;6;6
"311960 CORONEL PACHECO";2;5;7
"311990 CORREGO DO BOM JESUS";4;2;6
"311995 CORREGO FUNDO";15;54;69
"312010 COUTO DE MAGALHAES DE MINAS";-;2;2
"312020 CRISTAIS";4;15;19
"312040 CRISTIANO OTONI";-;7;7
"312050 CRISTINA";55;106;161
"312060 CRUCILANDIA";2;1;3
"312070 CRUZEIRO DA FORTALEZA";10;21;31
"312080 CRUZILIA";9;25;34
"312090 CURVELO";159;193;352
"312100 DATAS";2;5;7
"312110 DELFIM MOREIRA";12;35;47
"312120 DELFINOPOLIS";1;3;4
"312125 DELTA";9;22;31
"312130 DESCOBERTO";2;1;3
"312140 DESTERRO DE ENTRE RIOS";5;14;19
"312150 DESTERRO DO MELO";1;4;5
"312170 DIOGO DE VASCONCELOS";-;9;9
"312180 DIONISIO";18;29;47
"312200 DIVINO";4;11;15
"312220 DIVINOLANDIA DE MINAS";3;2;5
"312230 DIVINOPOLIS";187;196;383
"312235 DIVISA ALEGRE";-;1;1
"312240 DIVISA NOVA";2;11;13
"312245 DIVISOPOLIS";1;4;5
"312250 DOM CAVATI";8;6;14
"312260 DOM JOAQUIM";1;1;2
"312270 DOM SILVERIO";5;8;13
"312290 DONA EUSEBIA";4;6;10
"312300 DORES DE CAMPOS";22;40;62
"312310 DORES DE GUANHAES";-;10;10
"312320 DORES DO INDAIA";14;21;35
"312330 DORES DO TURVO";2;1;3
"312350 DOURADOQUARA";2;1;3
"312352 DURANDE";4;2;6
"312360 ELOI MENDES";1;1;2
"312385 ENTRE FOLHAS";1;5;6
"312390 ENTRE RIOS DE MINAS";11;9;20
"312400 ERVALIA";4;7;11
"312410 ESMERALDAS";14;42;56
"312420 ESPERA FELIZ";16;56;72
"312430 ESPINOSA";5;19;24
"312440 ESPIRITO SANTO DO DOURADO";4;13;17
"312450 ESTIVA";7;33;40
"312460 ESTRELA DALVA";3;11;14
"312470 ESTRELA DO INDAIA";13;8;21
"312480 ESTRELA DO SUL";4;5;9
"312490 EUGENOPOLIS";7;14;21
"312500 EWBANK DA CAMARA";-;8;8
"312510 EXTREMA";113;124;237
"312520 FAMA";1;-;1
"312530 FARIA LEMOS";1;-;1
