Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Tabagismo
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"311660 CLAUDIO";14;56;70
"311670 COIMBRA";1;21;22
"311680 COLUNA";2;16;18
"311690 COMENDADOR GOMES";4;7;11
"311700 COMERCINHO";-;1;1
"311710 CONCEICAO DA APARECIDA";6;27;33
"311720 CONCEICAO DAS PEDRAS";-;2;2
"311730 CONCEICAO DAS ALAGOAS";16;53;69
"311760 CONCEICAO DO PARA";2;13;15
"311780 CONCEICAO DOS OUROS";2;33;35
"311783 CONEGO MARINHO";3;16;19
"311787 CONFINS";2;7;9
"311790 CONGONHAL";4;17;21
"311820 CONQUISTA";12;25;37
"311830 CONSELHEIRO LAFAIETE";65;279;344
"311840 CONSELHEIRO PENA";16;45;61
"311850 CONSOLACAO";9;21;30
"311860 CONTAGEM";108;444;552
"311870 COQUEIRAL";3;19;22
"311890 CORDISBURGO";1;15;16
"311900 CORDISLANDIA";2;8;10
"311920 COROACI";1;5;6
"311930 COROMANDEL";28;59;87
"311940 CORONEL FABRICIANO";57;268;325
"311950 CORONEL MURTA";1;5;6
"311960 CORONEL PACHECO";1;6;7
"311990 CORREGO DO BOM JESUS";1;5;6
"311995 CORREGO FUNDO";7;62;69
"312010 COUTO DE MAGALHAES DE MINAS";1;1;2
"312020 CRISTAIS";3;16;19
"312040 CRISTIANO OTONI";1;6;7
"312050 CRISTINA";38;123;161
"312060 CRUCILANDIA";1;2;3
"312070 CRUZEIRO DA FORTALEZA";4;27;31
"312080 CRUZILIA";6;28;34
"312090 CURVELO";67;285;352
"312100 DATAS";-;7;7
"312110 DELFIM MOREIRA";10;37;47
"312120 DELFINOPOLIS";-;4;4
"312125 DELTA";10;21;31
"312130 DESCOBERTO";-;3;3
"312140 DESTERRO DE ENTRE RIOS";2;17;19
"312150 DESTERRO DO MELO";-;5;5
"312170 DIOGO DE VASCONCELOS";-;9;9
"312180 DIONISIO";5;42;47
"312200 DIVINO";4;11;15
"312220 DIVINOLANDIA DE MINAS";-;5;5
"312230 DIVINOPOLIS";76;307;383
"312235 DIVISA ALEGRE";-;1;1
"312240 DIVISA NOVA";3;10;13
"312245 DIVISOPOLIS";2;3;5
"312250 DOM CAVATI";1;13;14
"312260 DOM JOAQUIM";-;2;2
"312270 DOM SILVERIO";-;13;13
"312290 DONA EUSEBIA";-;10;10
"312300 DORES DE CAMPOS";13;49;62
"312310 DORES DE GUANHAES";1;9;10
"312320 DORES DO INDAIA";7;28;35
"312330 DORES DO TURVO";1;2;3
"312350 DOURADOQUARA";-;3;3
"312352 DURANDE";-;6;6
"312360 ELOI MENDES";1;1;2
"312385 ENTRE FOLHAS";-;6;6
"312390 ENTRE RIOS DE MINAS";7;13;20
"312400 ERVALIA";-;11;11
"312410 ESMERALDAS";12;44;56
"312420 ESPERA FELIZ";8;64;72
"312430 ESPINOSA";2;22;24
"312440 ESPIRITO SANTO DO DOURADO";3;14;17
"312450 ESTIVA";12;28;40
"312460 ESTRELA DALVA";-;14;14
"312470 ESTRELA DO INDAIA";5;16;21
"312480 ESTRELA DO SUL";1;8;9
"312490 EUGENOPOLIS";4;17;21
"312500 EWBANK DA CAMARA";4;4;8
"312510 EXTREMA";51;186;237
"312520 FAMA";-;1;1
"312530 FARIA LEMOS";-;1;1
"312540 FELICIO DOS SANTOS";-;2;2
"312550 SAO GONCALO DO RIO PRETO";1;3;4
"312560 FELISBURGO";3;-;3
"312570 FELIXLANDIA";2;-;2
"312580 FERNANDES TOURINHO";-;8;8
"312595 FERVEDOURO";2;13;15
"312610 FORMIGA";60;215;275
"312630 FORTALEZA DE MINAS";12;26;38
"312640 FORTUNA DE MINAS";5;7;12
"312650 FRANCISCO BADARO";2;12;14
"312660 FRANCISCO DUMONT";1;1;2
"312670 FRANCISCO SA";4;6;10
"312690 FREI INOCENCIO";3;15;18
